"","","","","par1","par2"
"cv",20,1,89.531764141586,-0.0689792973978047,-1.77893017275098
"cv",20,2,121.355137104533,0.15158277535513,-2.21343413309274
"cv",20,3,94.6733802121425,-0.0542954457929192,-1.86856200616164
"cv",20,4,89.0910845504011,-0.0754807402062449,-1.79097009667697
"cv",40,1,166.652539157983,0.266916059238693,-1.94775066584066
"cv",40,2,183.171681829695,0.267737677285997,-2.00319772919314
"cv",40,3,185.269501286093,0.302095950435311,-2.12619797060262
"cv",40,4,182.297385309889,0.265212920406674,-2.10716434003862
